filename,nwords,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
47782.txt, 11, 11.0,11.0,5.5,2.0,3.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3116.txt, 259, 16.1875,11.7727272727,7.61764705882,2.125,1.90909090909,1.54545454545,0.352941176471,0.545454545455,1.375,0.454545454545,0.136363636364,0.0882352941176,0.818181818182,0.529411764706
19482.txt, 37, 37.0,37.0,18.5,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,2.5
24702.txt, 302, 25.1666666667,25.1666666667,10.4137931034,2.41666666667,3.83333333333,2.41666666667,0.586206896552,1.41666666667,1.0,0.916666666667,0.583333333333,0.241379310345,3.91666666667,1.62068965517
27468.txt, 15, 7.5,7.5,5.0,1.5,1.5,1.5,0.333333333333,0.5,1.0,0.5,0.0,0.0,0.5,0.333333333333
25370.txt, 22, 22.0,22.0,11.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,3.0,1.5
10510.txt, 56, 56.0,11.2,7.0,8.0,2.2,1.6,0.375,0.6,5.0,0.6,0.0,0.0,1.0,0.625
16124.txt, 30, 30.0,30.0,10.0,3.0,3.0,3.0,0.666666666667,2.0,1.0,1.0,0.0,0.0,6.0,2.0
12208.txt, 16, 8.0,8.0,8.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
33278.txt, 12, 12.0,12.0,6.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0
21619.txt, 52, 17.3333333333,17.3333333333,10.4,1.66666666667,2.66666666667,1.66666666667,0.4,0.666666666667,1.0,0.666666666667,1.33333333333,0.8,1.0,0.6
34356.txt, 18, 9.0,9.0,9.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0
